name,artists,genres,type,published,links,intro,about
Flora,Helens,Shoegaze,EP,"July 24, 2020",https://helens.bandcamp.com/album/flora,Flora is the third EP released by Portland-based rock band [[artists/Helens|Helens]].,
Pollen,Helens,Shoegaze,EP,"December 13, 2019",https://helens.bandcamp.com/album/pollen,Pollen is the second EP released by Portland-based rock band [[artists/Helens|Helens]].,
Somewhere in Nowhere,Helens,Shoegaze,LP,"November 18, 2022",https://helens.bandcamp.com/album/somewhere-in-nowhere,Somewhere in Nowhere is the first full-length album release by Portland-based rock band [[artists/Helens|Helens]].,
Teeth,Helens,Shoegaze,EP,"June 16, 2015",https://helens.bandcamp.com/album/teeth,Teeth is the first EP released by Portland-based rock band [[artists/Helens|Helens]].,
Follow the Cyborg,Miss Grit,Alt-rock,LP,"February 24, 2023","https://missgrit.bandcamp.com/album/follow-the-cyborg,https://open.spotify.com/album/1FzCOEjfRrJvwMWqEUCsNO",Follow the Cyborg is the debut album from New York-based artist [[artists/Miss Grit|Miss Grit]].,"Follow the Cyborg explores gender, cybernetics, and personal identity through quirky, deeply personal alt-rock."
BIG AND KIND,NONBINARY GIRLFRIEND,"Punk,Bedroom pop",LP,"February 14, 2023","https://open.spotify.com/album/3pZU03IBAHqn3gqul7Egjp,https://nonbinarygirlfriend.bandcamp.com/album/big-and-kind","BIG AND KIND is an album released by [[artists/NONBINARY-GIRLFRIEND|NONBINARY GIRLFRIEND]] on February 14, 2023.","BIG AND KIND's title track, and also the band's breakaway hit, is an exhortation to embrace bigness in relationship, to establish boundaries as a form of kindness. The song is catchy and sweet, and the song's central groove is very bedroom pop-y, though a punk aesthetic materializes as it develops. The band often straddles the apparently thin line between [[genres/Bedroom-pop | bedroom pop]] and [[genres/Punk | punk]] on the album."
Don't Hit Me Up,Raavi,Alt-rock,LP,"December 6, 2019",https://open.spotify.com/album/2lN8gE8tTcW5jLvmZXhJNr,Don't Hit Me Up is the debut album from Brooklyn-based [[artists/Raavi|Raavi]].,
I Don't Like To Cry,Sadgasm,Alt-rock,EP,"December 15, 2018",https://open.spotify.com/album/4mtfokvd7AgeSoqBp4kXs6,"I Don't Like to Cry is an EP released by Salem, Oregon-based band [[artists/Sadgasm|Sadgasm]].","The EP sees the band employing surf rock motifs, especially in the drumming of the first 3 tracks."
Missouri,Sadgasm,"Alt-rock,Punk",single,"June 30, 2023",https://open.spotify.com/album/14InKgsOwq5d4T7bSVllVh,"Missouri is a 2023 single released by Salem, Oregon-based band [[artists/Sadgasm|Sadgasm]].",
Ramen,Sadgasm,"Alt-rock,Punk",LP,"February 24, 2018",https://open.spotify.com/album/2uuLKqeeo20fS68Gwvmc79,"Ramen is the debut release from Salem, Oregon-based band [[artists/Sadgasm|Sadgasm]].","The first and last tracks on this album are likely Sadgasm's most well-known. The first, Cum On, illustrates the band's softer side. On the other hand, Car Crash employs yelled vocals reminiscent of some of the more raucous 2000s indie rock & emo groups."
To Tame a Wild Cowboy,Sadgasm,"Alt-rock,Punk",LP,"June 24, 2022",https://open.spotify.com/album/0ii8cmXAWsfIjrwFEU9zOd,"To Tame a Wild Cowboy is a 2022 album released by Salem, Oregon-based band [[artists/Sadgasm|Sadgasm]].","Tempos are a bit more upbeat on this album than previous releases from the band. The sound is a bit tidier and polished, but the room sound characteristic of the band's previous recordings is preserved."
1-5,scribble t,"Electronica,Post-classical",single,"August 25, 2022",https://scribble-t.bandcamp.com/track/1-5,"1-5 is a single released by [[artists/scribble-t|scribble t]] on August 25, 2022.",1-5 was released on Bandcamp as a single without a B side in August of 2022.
4-6,scribble t,"Electronica,Post-classical",single,"November 25, 2022",https://scribble-t.bandcamp.com/track/4-6,"4-6 is a single released by [[artists/scribble-t|scribble t]] on November 25, 2022.",4-6 was released on Bandcamp as a single without a B side in November of 2022.
They Grow Up So Fast,combobox,"Punk,Ska",single,"December 17, 2023",https://open.spotify.com/album/0vHDjXvpQQnuwYteRgnfk3,They Grow Up So Fast is the debut single from Portland-based alt-punk outfit [[artists/combobox|combobox]].,"A short, hard ska track - and a definitive combobox song. Recorded in the band member's various basements, the recording is less polished than their future singles would prove to be."
Meanwhile (Live at Coconut Monkey Studios),combobox,"Punk,Crankwave",single,"March 7, 2024",https://open.spotify.com/album/1tqWjxhW0OB9EughI91oIx,Meanwhile is the second single from Portland-based alt-punk outfit [[artists/combobox|combobox]].,Meanwhile is likely combobox's most well-known track. it couples absurdist storytelling with a groovy crankwave sound and an anthemic chorus reminiscent of [Gustaf](https://en.wikipedia.org/wiki/Gustaf_(band))'s hooks.
The Planets (Live at Coconut Monkey Studios),combobox,"Punk,Alt-rock",single,"April 27, 2024",https://open.spotify.com/album/1FFOs8zhwEQba68chqisGb,The Planets is the third single from Portland-based alt-punk band [[artists/combobox|combobox]].,"The Planets is combobox at their most bombastic. Loud, propulsive drums coupled with a repetitive, aggressive motif keep the short track moving forward, and the rapid flow of spoken and yelled lyrics pithced against frenetic, jagged guitar parts provide for a track that is at once in-your-face and tongue-in-cheek."
